,SKU,base_price,disc_price,brand,category,note,platform
2,5.000,Rp5.200,,smartfren,Pulsa,,tokopedia
5,10.000,Rp10.100,,smartfren,Pulsa,,tokopedia
8,20.000,Rp19.850,,smartfren,Pulsa,,tokopedia
0,3%,Rp5.050,Rp5.200,smartfren,Pulsa,Lihat Detail,tokopedia
11,25.000,Rp24.850,,smartfren,Pulsa,,tokopedia
12,30.000,Rp29.750,,smartfren,Pulsa,,tokopedia
10,50.000,Rp49.225,,smartfren,Pulsa,,tokopedia
6,60.000,Rp59.500,,smartfren,Pulsa,,tokopedia
7,75.000,Rp74.500,,smartfren,Pulsa,,tokopedia
10,100.000,Rp98.500,,smartfren,Pulsa,,tokopedia
7,150.000,Rp148.000,,smartfren,Pulsa,,tokopedia
10,200.000,Rp197.900,,smartfren,Pulsa,,tokopedia
8,300.000,Rp295.200,,smartfren,Pulsa,,tokopedia
11,500.000,Rp496.500,,smartfren,Pulsa,,tokopedia
7,1.000.000,Rp989.000,,smartfren,Pulsa,,tokopedia
2,5.000,Rp5.325,,telkomsel,Pulsa,,tokopedia
3,10.000,Rp10.200,,telkomsel,Pulsa,,tokopedia
4,15.000,Rp14.850,,telkomsel,Pulsa,,tokopedia
7,20.000,Rp19.890,,telkomsel,Pulsa,,tokopedia
6,25.000,Rp24.875,,telkomsel,Pulsa,,tokopedia
7,30.000,Rp29.800,,telkomsel,Pulsa,,tokopedia
8,35.000,Rp34.990,,telkomsel,Pulsa,,tokopedia
9,40.000,Rp39.500,,telkomsel,Pulsa,,tokopedia
4,45.000,Rp44.990,,telkomsel,Pulsa,,tokopedia
7,50.000,Rp49.650,,telkomsel,Pulsa,,tokopedia
8,60.000,Rp59.990,,telkomsel,Pulsa,,tokopedia
7,65.000,Rp65.500,,telkomsel,Pulsa,,tokopedia
8,70.000,Rp69.990,,telkomsel,Pulsa,,tokopedia
9,75.000,Rp73.400,,telkomsel,Pulsa,,tokopedia
10,80.000,Rp80.500,,telkomsel,Pulsa,,tokopedia
6,85.000,Rp85.500,,telkomsel,Pulsa,,tokopedia
7,90.000,Rp89.990,,telkomsel,Pulsa,,tokopedia
8,95.000,Rp95.500,,telkomsel,Pulsa,,tokopedia
9,100.000,Rp98.500,,telkomsel,Pulsa,,tokopedia
7,150.000,Rp149.000,,telkomsel,Pulsa,,tokopedia
10,200.000,Rp197.000,,telkomsel,Pulsa,,tokopedia
8,300.000,Rp298.200,,telkomsel,Pulsa,,tokopedia
9,500.000,Rp499.000,,telkomsel,Pulsa,,tokopedia
10,1.000.000,Rp997.300,,telkomsel,Pulsa,,tokopedia
0,5.000,Rp5.850,,im3,Pulsa,,tokopedia
1,10.000,Rp10.930,,im3,Pulsa,,tokopedia
4,12.000,Rp11.950,,im3,Pulsa,,tokopedia
5,15.000,Rp14.950,,im3,Pulsa,,tokopedia
8,20.000,Rp19.850,,im3,Pulsa,,tokopedia
9,25.000,Rp24.750,,im3,Pulsa,,tokopedia
10,30.000,Rp29.550,,im3,Pulsa,,tokopedia
6,40.000,Rp39.800,,im3,Pulsa,,tokopedia
7,50.000,Rp48.860,,im3,Pulsa,,tokopedia
10,60.000,Rp59.300,,im3,Pulsa,,tokopedia
7,80.000,Rp78.800,,im3,Pulsa,,tokopedia
8,90.000,Rp90.000,,im3,Pulsa,,tokopedia
9,100.000,Rp96.570,,im3,Pulsa,,tokopedia
6,115.000,Rp113.500,,im3,Pulsa,,tokopedia
7,125.000,Rp123.000,,im3,Pulsa,,tokopedia
8,150.000,Rp143.500,,im3,Pulsa,,tokopedia
4,200.000,Rp187.500,,im3,Pulsa,,tokopedia
5,250.000,Rp235.000,,im3,Pulsa,,tokopedia
6,500.000,Rp470.000,,im3,Pulsa,,tokopedia
0,5.000,Rp5.890,,xl,Pulsa,,tokopedia
3,10.000,Rp10.820,,xl,Pulsa,,tokopedia
6,15.000,Rp14.930,,xl,Pulsa,,tokopedia
7,25.000,Rp24.850,,xl,Pulsa,,tokopedia
7,30.000,Rp30.000,,xl,Pulsa,,tokopedia
8,50.000,Rp49.725,,xl,Pulsa,,tokopedia
5,100.000,Rp99.400,,xl,Pulsa,,tokopedia
6,150.000,Rp149.550,,xl,Pulsa,,tokopedia
9,200.000,Rp199.000,,xl,Pulsa,,tokopedia
6,300.000,Rp298.250,,xl,Pulsa,,tokopedia
