,SKU,base_price,disc_price,brand,category,note,platform
0,5.000,Rp5.200,,smartfren,Pulsa,,tokopedia
1,10.000,Rp10.100,,smartfren,Pulsa,,tokopedia
3,20.000,Rp19.850,,smartfren,Pulsa,,tokopedia
4,25.000,Rp24.850,,smartfren,Pulsa,,tokopedia
5,30.000,Rp29.750,,smartfren,Pulsa,,tokopedia
6,50.000,Rp49.225,,smartfren,Pulsa,,tokopedia
4,55.000,Rp54.350,,smartfren,Pulsa,,tokopedia
5,55.000,Rp54.800,,smartfren,Pulsa,,tokopedia
6,60.000,Rp59.500,,smartfren,Pulsa,,tokopedia
7,75.000,Rp73.900,,smartfren,Pulsa,,tokopedia
8,75.000,Rp74.800,,smartfren,Pulsa,,tokopedia
5,80.000,Rp78.900,,smartfren,Pulsa,,tokopedia
6,80.000,Rp79.650,,smartfren,Pulsa,,tokopedia
7,100.000,Rp98.500,,smartfren,Pulsa,,tokopedia
8,150.000,Rp148.000,,smartfren,Pulsa,,tokopedia
5,200.000,Rp197.900,,smartfren,Pulsa,,tokopedia
6,300.000,Rp295.200,,smartfren,Pulsa,,tokopedia
7,500.000,Rp496.500,,smartfren,Pulsa,,tokopedia
8,1.000.000,Rp989.000,,smartfren,Pulsa,,tokopedia
0,5.000,Rp5.275,,telkomsel,Pulsa,,tokopedia
1,5.000,Rp5.325,,telkomsel,Pulsa,,tokopedia
2,10.000,Rp10.300,,telkomsel,Pulsa,,tokopedia
4,15.000,Rp14.850,,telkomsel,Pulsa,,tokopedia
5,20.000,Rp19.890,,telkomsel,Pulsa,,tokopedia
6,25.000,Rp24.950,,telkomsel,Pulsa,,tokopedia
5,30.000,Rp29.875,,telkomsel,Pulsa,,tokopedia
6,35.000,Rp34.950,,telkomsel,Pulsa,,tokopedia
7,40.000,Rp39.500,,telkomsel,Pulsa,,tokopedia
5,45.000,Rp44.990,,telkomsel,Pulsa,,tokopedia
7,50.000,Rp49.750,,telkomsel,Pulsa,,tokopedia
6,55.000,Rp54.890,,telkomsel,Pulsa,,tokopedia
7,60.000,Rp59.900,,telkomsel,Pulsa,,tokopedia
4,65.000,Rp64.950,,telkomsel,Pulsa,,tokopedia
5,70.000,Rp69.900,,telkomsel,Pulsa,,tokopedia
6,75.000,Rp73.400,,telkomsel,Pulsa,,tokopedia
7,80.000,Rp80.500,,telkomsel,Pulsa,,tokopedia
8,85.000,Rp85.500,,telkomsel,Pulsa,,tokopedia
5,90.000,Rp89.990,,telkomsel,Pulsa,,tokopedia
7,95.000,Rp95.500,,telkomsel,Pulsa,,tokopedia
5,100.000,Rp98.500,,telkomsel,Pulsa,,tokopedia
6,150.000,Rp149.000,,telkomsel,Pulsa,,tokopedia
8,200.000,Rp197.000,,telkomsel,Pulsa,,tokopedia
9,300.000,Rp298.300,,telkomsel,Pulsa,,tokopedia
5,500.000,Rp499.000,,telkomsel,Pulsa,,tokopedia
6,1.000.000,Rp997.300,,telkomsel,Pulsa,,tokopedia
7,5.000 - testing,Rp5.500,,telkomsel,Pulsa,,tokopedia
0,5.000,Rp5.795,,im3,Pulsa,,tokopedia
1,10.000,Rp10.860,,im3,Pulsa,,tokopedia
2,10.000,Rp10.975,,im3,Pulsa,,tokopedia
4,12.000,Rp12.075,,im3,Pulsa,,tokopedia
5,15.000,Rp14.980,,im3,Pulsa,,tokopedia
5,20.000,Rp19.940,,im3,Pulsa,,tokopedia
6,25.000,Rp24.925,,im3,Pulsa,,tokopedia
7,30.000,Rp29.750,,im3,Pulsa,,tokopedia
8,40.000,Rp39.800,,im3,Pulsa,,tokopedia
5,50.000,Rp49.200,,im3,Pulsa,,tokopedia
7,60.000,Rp59.350,,im3,Pulsa,,tokopedia
5,70.000,Rp69.500,,im3,Pulsa,,tokopedia
6,80.000,Rp78.800,,im3,Pulsa,,tokopedia
7,90.000,Rp88.350,,im3,Pulsa,,tokopedia
8,100.000,Rp97.400,,im3,Pulsa,,tokopedia
4,115.000,Rp113.400,,im3,Pulsa,,tokopedia
5,115.000,Rp113.500,,im3,Pulsa,,tokopedia
6,125.000,Rp123.900,,im3,Pulsa,,tokopedia
7,150.000,Rp148.500,,im3,Pulsa,,tokopedia
4,200.000,Rp198.000,,im3,Pulsa,,tokopedia
5,250.000,Rp250.000,,im3,Pulsa,,tokopedia
7,500.000,Rp482.000,,im3,Pulsa,,tokopedia
0,5.000,Rp5.890,,xl,Pulsa,,tokopedia
1,10.000,Rp10.950,,xl,Pulsa,,tokopedia
2,15.000,Rp15.100,,xl,Pulsa,,tokopedia
3,25.000,Rp24.850,,xl,Pulsa,,tokopedia
4,30.000,Rp29.200,,xl,Pulsa,,tokopedia
5,50.000,Rp49.725,,xl,Pulsa,,tokopedia
6,100.000,Rp99.700,,xl,Pulsa,,tokopedia
5,150.000,Rp149.800,,xl,Pulsa,,tokopedia
6,200.000,Rp199.200,,xl,Pulsa,,tokopedia
7,300.000,Rp298.700,,xl,Pulsa,,tokopedia
8,500.000,Rp497.700,,xl,Pulsa,,tokopedia
5,1.000.000,Rp994.700,,xl,Pulsa,,tokopedia
0,5.000,Rp6.200,,axis,Pulsa,,tokopedia
1,10.000,Rp11.000,,axis,Pulsa,,tokopedia
3,15.000,Rp15.200,,axis,Pulsa,,tokopedia
4,25.000,Rp24.900,,axis,Pulsa,,tokopedia
5,30.000,Rp30.000,,axis,Pulsa,,tokopedia
6,50.000,Rp49.730,,axis,Pulsa,,tokopedia
5,100.000,Rp99.800,,axis,Pulsa,,tokopedia
7,200.000,Rp199.300,,axis,Pulsa,,tokopedia
8,300.000,Rp299.000,,axis,Pulsa,,tokopedia
4,500.000,Rp497.700,,axis,Pulsa,,tokopedia
5,1.000.000,Rp995.000,,axis,Pulsa,,tokopedia
0,1.000,Rp1.350,,3,Pulsa,,tokopedia
1,2.000,Rp2.325,,3,Pulsa,,tokopedia
2,3.000,Rp3.300,,3,Pulsa,,tokopedia
3,5.000,Rp5.570,,3,Pulsa,,tokopedia
5,8.000,Rp8.500,,3,Pulsa,,tokopedia
6,10.000,Rp10.450,,3,Pulsa,,tokopedia
6,15.000,Rp14.950,,3,Pulsa,,tokopedia
7,20.000,Rp19.950,,3,Pulsa,,tokopedia
8,25.000,Rp24.700,,3,Pulsa,,tokopedia
4,30.000,Rp29.850,,3,Pulsa,,tokopedia
5,40.000,Rp39.950,,3,Pulsa,,tokopedia
6,50.000,Rp49.400,,3,Pulsa,,tokopedia
7,60.000,Rp59.950,,3,Pulsa,,tokopedia
4,70.000,Rp69.450,,3,Pulsa,,tokopedia
5,75.000,Rp74.500,,3,Pulsa,,tokopedia
6,80.000,Rp79.900,,3,Pulsa,,tokopedia
7,90.000,Rp89.950,,3,Pulsa,,tokopedia
4,100.000,Rp98.800,,3,Pulsa,,tokopedia
5,125.000,Rp124.000,,3,Pulsa,,tokopedia
6,150.000,Rp147.520,,3,Pulsa,,tokopedia
7,200.000,Rp197.000,,3,Pulsa,,tokopedia
8,250.000,Rp246.000,,3,Pulsa,,tokopedia
5,300.000,Rp297.200,,3,Pulsa,,tokopedia
6,500.000,Rp495.000,,3,Pulsa,,tokopedia
2,Freedom Internet 42GB / 30 Hari + Bonus Kuota Zona Hingga 12GB,Rp121.500,Rp106.500,im3,Paket Data,,tokopedia
4,Freedom Internet 50GB / 30 Hari,Rp137.000,Rp119.800,im3,Paket Data,,tokopedia
6,Freedom Internet 70GB / 30 Hari,Rp173.000,Rp139.500,im3,Paket Data,,tokopedia
8,Freedom Internet 150GB/30hr,Rp300.000,Rp149.500,im3,Paket Data,,tokopedia
0,XTRA ON 1GB,Rp13.040,Rp12.590,xl,Paket Data,,tokopedia
2,XTRA ON 2GB,Rp22.050,Rp21.300,xl,Paket Data,,tokopedia
4,Xtra Combo Flex S+ 3GB + Kuota Area Hingga 7GB + Bonus Flex,Rp33.400,Rp32.350,xl,Paket Data,,tokopedia
6,Xtra Combo Flex M+,Rp47.500,Rp46.000,xl,Paket Data,,tokopedia
8,Xtra Combo Flex L 9GB + Kuota Area Hingga 18GB + Bonus Flex,Rp66.200,Rp64.100,xl,Paket Data,,tokopedia
0,Xtra Combo Flex S+ 3GB + Kuota Area Hingga 7GB + Bonus Flex,Rp33.400,Rp32.350,xl,Paket Data,,tokopedia
6,"Xtra Hotrod Special S, 7hr",Rp15.675,Rp15.180,xl,Paket Data,,tokopedia
8,"Xtra Hotrod Special M, 7hr",Rp18.950,Rp18.350,xl,Paket Data,,tokopedia
10,"Xtra Hotrod Special L, 7hr",Rp25.175,Rp24.380,xl,Paket Data,,tokopedia
