,product_value,price,SKU,brand,category,5,discount,note,platform
8,39500,39100,Kuota 16GB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
10,58500,57900,Kuota 30GB,smartfren,Paket Data,,1%,Promo,mitra tokopedia
12,25000,24850,Unlimited 25RB,smartfren,Paket Data,,0.6%,Promo,mitra tokopedia
14,35000,34750,Unlimited Nonstop 8GB,smartfren,Paket Data,,0.71%,Promo,mitra tokopedia
16,,4975,Combo 1GB 1Hr,smartfren,Paket Data,,,,mitra tokopedia
9,,7980,Combo 1GB 7Hr,smartfren,Paket Data,,,,mitra tokopedia
10,,19700,Kuota 6GB,smartfren,Paket Data,,,,mitra tokopedia
11,,22400,Kuota 18GB,smartfren,Paket Data,,,,mitra tokopedia
12,,29350,Kuota 10GB,smartfren,Paket Data,,,,mitra tokopedia
4,,39500,Kuota 16GB,smartfren,Paket Data,,,,mitra tokopedia
5,,44590,Unlimited 45RB,smartfren,Paket Data,,,,mitra tokopedia
6,,49700,Unlimited Nonstop 12GB,smartfren,Paket Data,,,,mitra tokopedia
7,,58500,Kuota 30GB,smartfren,Paket Data,,,,mitra tokopedia
8,,64300,Unlimited 65rb,smartfren,Paket Data,,,,mitra tokopedia
6,,68500,Unlimited Nonstop 30GB,smartfren,Paket Data,,,,mitra tokopedia
7,,79400,Unlimited 80RB,smartfren,Paket Data,,,,mitra tokopedia
8,,79900,Plan Smartfren Kuota 2L,smartfren,Paket Data,,,,mitra tokopedia
4,,96500,Kuota 60GB,smartfren,Paket Data,,,,mitra tokopedia
5,,97500,Unlimited Nonstop 45GB,smartfren,Paket Data,,,,mitra tokopedia
6,,98500,Super 4G Unlimited Bulanan 100K,smartfren,Paket Data,,,,mitra tokopedia
7,,113500,Plan Smartfren Kuota 3L,smartfren,Paket Data,,,,mitra tokopedia
3,,124500,Unlimited Nonstop 60GB,smartfren,Paket Data,,,,mitra tokopedia
4,,134500,Plan Smartfren Kuota 4L,smartfren,Paket Data,,,,mitra tokopedia
5,,146000,Kuota 90GB,smartfren,Paket Data,,,,mitra tokopedia
6,,193900,Kuota 120GB,smartfren,Paket Data,,,,mitra tokopedia
7,,199000,Super 4G Unlimited Bulanan 200K,smartfren,Paket Data,,,,mitra tokopedia
5,,3000,Chat 1GB/ 3Days,smartfren,Paket Data,,,,mitra tokopedia
6,,3000,Instagram + Facebook + Tinder 1GB/ 3Days,smartfren,Paket Data,,,,mitra tokopedia
7,,3000,TikTok 1GB / 3 Days,smartfren,Paket Data,,,,mitra tokopedia
8,,3000,Viu Combo 0.7GB/day,smartfren,Paket Data,,,,mitra tokopedia
3,,3000,YouTube 1GB/ 3 Days,smartfren,Paket Data,,,,mitra tokopedia
4,,5000,Chat 1.5GB/ 7Days,smartfren,Paket Data,,,,mitra tokopedia
5,,5000,Conference 1.5GB/ 7Days,smartfren,Paket Data,,,,mitra tokopedia
6,,5000,Education 1.5GB/ 7Days,smartfren,Paket Data,,,,mitra tokopedia
7,,5000,Sosmed 1.5GB/ 7Days,smartfren,Paket Data,,,,mitra tokopedia
4,,5000,TikTok 1.5GB/ 7Days,smartfren,Paket Data,,,,mitra tokopedia
5,,5000,YouTube 1.5GB/ 7Days,smartfren,Paket Data,,,,mitra tokopedia
6,,5975,Game Combo 2GB 1Hr,smartfren,Paket Data,,,,mitra tokopedia
7,,5975,"Music Combo 1,5GB 1Hr",smartfren,Paket Data,,,,mitra tokopedia
8,,8975,Game Combo 8GB 7Hr,smartfren,Paket Data,,,,mitra tokopedia
5,,8975,"Music Combo 4,5GB 7Hr",smartfren,Paket Data,,,,mitra tokopedia
6,,9950,Free Fire Combo 2GB 1hr,smartfren,Paket Data,,,,mitra tokopedia
7,,9950,Movie Combo 2GB 7 Hr,smartfren,Paket Data,,,,mitra tokopedia
4,,10000,Youtube 10GB / 7 Days,smartfren,Paket Data,,,,mitra tokopedia
5,,14900,Free Fire Combo 8GB 7hr,smartfren,Paket Data,,,,mitra tokopedia
6,,14900,VIU Combo 2GB 7hr,smartfren,Paket Data,,,,mitra tokopedia
7,,20000,Super 4G Games 500MB,smartfren,Paket Data,,,,mitra tokopedia
8,,29000,Viu Combo 3GB / 28 Days,smartfren,Paket Data,,,,mitra tokopedia
5,,14925,Kuota 9GB,smartfren,Paket Data,,,,mitra tokopedia
6,,299500,Kuota 100GB,smartfren,Paket Data,,,,mitra tokopedia
7,,499000,Kuota 200GB,smartfren,Paket Data,,,,mitra tokopedia
8,,998000,Kuota 420GB,smartfren,Paket Data,,,,mitra tokopedia
5,,149000,Super 4G Unlimited Bulanan 150K,smartfren,Paket Data,,,,mitra tokopedia
6,,3000,Music 1GB/ 3Days,smartfren,Paket Data,,,,mitra tokopedia
7,,56100,Vidio Diamond EPL Mobile 57k,smartfren,Paket Data,,,,mitra tokopedia
0,20000,19980,Paket Bicara Semua Operator 20rb,telkomsel,Paket Data,,0.1%,Promo,mitra tokopedia
2,24900,24850,Paket Bicara Semua Operator 25rb,telkomsel,Paket Data,,0.2%,Promo,mitra tokopedia
4,16900,16500,Flash 500MB,telkomsel,Paket Data,,2.37%,Promo,mitra tokopedia
6,24250,22300,Flash 1GB,telkomsel,Paket Data,,8.04%,Promo,mitra tokopedia
8,48000,45000,Flash 2GB,telkomsel,Paket Data,,6.25%,Promo,mitra tokopedia
10,56900,45950,Flash 3GB,telkomsel,Paket Data,,19.24%,Promo,mitra tokopedia
12,77400,60950,Flash 4GB,telkomsel,Paket Data,,21.25%,Promo,mitra tokopedia
14,88950,75950,Flash 5GB,telkomsel,Paket Data,,14.61%,Promo,mitra tokopedia
16,58000,55000,Internet Bulanan OMG 55rb,telkomsel,Paket Data,,5.17%,Promo,mitra tokopedia
0,56900,45950,Flash 3GB,telkomsel,Paket Data,,19.24%,,mitra tokopedia
8,128500,111000,Data Hingga 12GB (Zona),telkomsel,Paket Data,,13.62%,Promo,mitra tokopedia
10,,212000,Data Hingga 50GB (Zona),telkomsel,Paket Data,,,,mitra tokopedia
11,,22500,Data 1GB,telkomsel,Paket Data,,,,mitra tokopedia
12,,44800,Data 2GB,telkomsel,Paket Data,,,,mitra tokopedia
13,,50500,Data 3GB,telkomsel,Paket Data,,,,mitra tokopedia
0,128500,111000,Data Hingga 12GB (Zona),telkomsel,Paket Data,,13.62%,,mitra tokopedia
6,,10000,Internet Harian 10rb / 1 Hari,telkomsel,Paket Data,,,,mitra tokopedia
7,,20000,Internet Harian 20rb / 1 Hari,telkomsel,Paket Data,,,,mitra tokopedia
8,,25000,Internet Harian 25rb / 3 Hari,telkomsel,Paket Data,,,,mitra tokopedia
9,,39650,Internet Harian 40rb / 3 Hari,telkomsel,Paket Data,,,,mitra tokopedia
4,,29800,Internet Mingguan 30rb,telkomsel,Paket Data,,,,mitra tokopedia
5,,44900,Internet Mingguan 45rb,telkomsel,Paket Data,,,,mitra tokopedia
6,,74750,Internet Bulanan OMG 75rb,telkomsel,Paket Data,,,,mitra tokopedia
7,,109000,Internet Bulanan OMG 110rb,telkomsel,Paket Data,,,,mitra tokopedia
8,,159000,Internet Bulanan OMG 160rb,telkomsel,Paket Data,,,,mitra tokopedia
5,,209000,Internet Bulanan OMG 210rb,telkomsel,Paket Data,,,,mitra tokopedia
6,,248000,OMG Nonton 250RB,telkomsel,Paket Data,,,,mitra tokopedia
7,,4500,Voice ONNET 25 Menit,telkomsel,Paket Data,,,,mitra tokopedia
8,,82800,Bicara 1400mnt-3900mnt(Zona),telkomsel,Paket Data,,,,mitra tokopedia
5,,24850,Bicara 375mnt-950mnt(Zona),telkomsel,Paket Data,,,,mitra tokopedia
6,,133900,Bicara 4700mnt-10200mnt(Zona)-30Hr,telkomsel,Paket Data,,,,mitra tokopedia
7,,10000,Paket Bicara Semua Operator 10rb,telkomsel,Paket Data,,,,mitra tokopedia
8,,84750,Paket Bicara Semua Operator 85rb,telkomsel,Paket Data,,,,mitra tokopedia
5,,39800,Paket Bicara Sesama Telkomsel 7 Hari,telkomsel,Paket Data,,,,mitra tokopedia
6,,5400,Data 5.000,telkomsel,Paket Data,,,,mitra tokopedia
7,,10450,Data 10.000,telkomsel,Paket Data,,,,mitra tokopedia
3,,19900,Data 20.000,telkomsel,Paket Data,,,,mitra tokopedia
4,,24975,Data 25.000,telkomsel,Paket Data,,,,mitra tokopedia
5,,50000,Data 50.000,telkomsel,Paket Data,,,,mitra tokopedia
6,,19730,Flash 750MB,telkomsel,Paket Data,,,,mitra tokopedia
7,,64700,Paket Internet Bulanan OMG + Vidio 65K,telkomsel,Paket Data,,,,mitra tokopedia
4,,84600,Paket Internet Bulanan OMG + Vidio 85K,telkomsel,Paket Data,,,,mitra tokopedia
5,,119700,Paket Internet Bulanan OMG + Vidio 120K,telkomsel,Paket Data,,,,mitra tokopedia
6,,169450,Paket Internet Bulanan OMG + Vidio 170K,telkomsel,Paket Data,,,,mitra tokopedia
7,,219750,Paket Internet Bulanan OMG + Vidio 220K,telkomsel,Paket Data,,,,mitra tokopedia
8,,149250,"Internet Bulanan 25GB, 30 Hari",telkomsel,Paket Data,,,,mitra tokopedia
4,,199250,"Internet Bulanan 75GB, 30 Hari",telkomsel,Paket Data,,,,mitra tokopedia
5,,25000,Music MAX 25K,telkomsel,Paket Data,,,,mitra tokopedia
0,11000,10850,Freedom Internet 2.5GB/5Hari,im3,Paket Data,,1.36%,Promo,mitra tokopedia
2,20000,14800,Freedom Internet 5GB/5 Hari,im3,Paket Data,,26%,Promo,mitra tokopedia
4,25000,19850,Freedom Internet 7GB/7 Hari,im3,Paket Data,,20.6%,Promo,mitra tokopedia
6,25000,24850,Freedom Internet 15GB/3hr,im3,Paket Data,,0.6%,Promo,mitra tokopedia
8,106450,102450,Freedom U 45GB / 30 Hari,im3,Paket Data,,4%,Promo,mitra tokopedia
8,49250,47250,Freedom Internet 12GB / 30 Hari + Bonus Kuota Zona Hingga 8GB,im3,Paket Data,,4%,Promo,mitra tokopedia
10,79150,75150,Freedom Internet 24GB / 30 Hari + Bonus Kuota Zona Hingga 16GB,im3,Paket Data,,5%,Promo,mitra tokopedia
12,98700,94700,Freedom Internet 35GB / 30 Hari + Bonus Kuota Zona Hingga 25GB,im3,Paket Data,,4%,Promo,mitra tokopedia
14,118650,113650,Freedom Internet 50GB / 30 Hari,im3,Paket Data,,4%,Promo,mitra tokopedia
8,5000,4500,1GB / 1 hari,im3,Paket Data,,10%,Baru,mitra tokopedia
10,6500,5900,1GB / 3 hari,im3,Paket Data,,9.23%,Baru,mitra tokopedia
12,6000,5500,Yellow 1GB / 2 hari,im3,Paket Data,,8.33%,Baru,mitra tokopedia
14,15000,13450,Yellow 1GB / 15 hari,im3,Paket Data,,10.33%,Baru,mitra tokopedia
0,5000,4500,1GB / 1 hari,im3,Paket Data,,10%,,mitra tokopedia
8,,19800,Freedom Internet 3GB / 30 Hari + Bonus Kuota Zona Hingga 2GB,im3,Paket Data,,,,mitra tokopedia
9,,29800,Freedom Internet 5GB / 30 Hari + Bonus Kuota Zona Hingga 4GB,im3,Paket Data,,,,mitra tokopedia
10,,49250,Freedom Internet 12GB / 30 Hari + Bonus Kuota Zona Hingga 8GB,im3,Paket Data,,,,mitra tokopedia
11,,79150,Freedom Internet 24GB / 30 Hari + Bonus Kuota Zona Hingga 16GB,im3,Paket Data,,,,mitra tokopedia
4,,98700,Freedom Internet 35GB / 30 Hari + Bonus Kuota Zona Hingga 25GB,im3,Paket Data,,,,mitra tokopedia
5,,31650,Freedom U 5.5GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
6,,52500,Freedom U 10GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
7,,73900,Freedom U 20GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
5,,95950,Freedom U 35GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
6,,106450,Freedom U 45GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
7,,28300,Data Kuota 7GB / 7 Hari,im3,Paket Data,,,,mitra tokopedia
4,,3000,Data Kuota 100MB / 30 hari,im3,Paket Data,,,,mitra tokopedia
5,,4000,Data Kuota 200MB / 30 hari,im3,Paket Data,,,,mitra tokopedia
6,,5000,Data Kuota 300MB / 30 hari,im3,Paket Data,,,,mitra tokopedia
7,,6500,Data Kuota 500MB / 30 hari,im3,Paket Data,,,,mitra tokopedia
6,,9000,Data Kuota 700MB / 30 hari,im3,Paket Data,,,,mitra tokopedia
7,,11500,Data Kuota 1GB / 30 hari,im3,Paket Data,,,,mitra tokopedia
8,,17500,"Data Kuota 1,5GB / 30 hari",im3,Paket Data,,,,mitra tokopedia
5,,22500,Data Kuota 2GB / 30 hari,im3,Paket Data,,,,mitra tokopedia
6,,34900,Data Kuota 3GB / 30 hari,im3,Paket Data,,,,mitra tokopedia
7,,45000,Data Kuota 4GB / 30 hari,im3,Paket Data,,,,mitra tokopedia
6,,57500,Data Kuota 5GB / 30 hari,im3,Paket Data,,,,mitra tokopedia
7,,86500,Data Kuota 12GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
8,,102000,Data Kuota 18GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
4,,31640,Freedom Combo 6GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
5,,42450,Freedom Combo 10GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
6,,64450,Freedom Combo 20GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
7,,86000,Freedom Combo 30GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
5,,9900,Paket Nelpon Obrol Sepuasnya ke Sesama / 30 Hari,im3,Paket Data,,,,mitra tokopedia
6,,25000,Paket Nelpon Obrol Sepuasnya ke Sesama + 60 menit ke Semua / 30 Hari,im3,Paket Data,,,,mitra tokopedia
7,,48850,Paket Nelpon Obrol Sepuasnya ke Sesama + 250 menit ke Semua / 30 Hari,im3,Paket Data,,,,mitra tokopedia
4,,118650,Freedom Internet 50GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
5,,247500,Freedom Internet 100GB/90hr,im3,Paket Data,,,,mitra tokopedia
6,,148500,Freedom Internet 100GB / 30 Hari,im3,Paket Data,,,,mitra tokopedia
7,,197000,Freedom Internet 200GB/30 Hari,im3,Paket Data,,,,mitra tokopedia
0,5000,4800,"Paket Blue 1GB, 2hr",xl,Paket Data,,4%,Promo,mitra tokopedia
2,10000,9600,"Paket Blue 3GB, 2hr",xl,Paket Data,,4%,Promo,mitra tokopedia
4,9400,8400,"Kuota 100MB, 1 hr + Voucher Steam Wallet 8rb",xl,Paket Data,,11%,Promo,mitra tokopedia
6,13950,13500,XTRA ON 1GB,xl,Paket Data,,3%,Promo,mitra tokopedia
8,22950,22200,XTRA ON 2GB,xl,Paket Data,,3%,Promo,mitra tokopedia
10,16000,15600,Xtra Combo Flex S 1.5GB 30 Hari,xl,Paket Data,,2.5%,Promo,mitra tokopedia
12,37000,36000,Xtra Combo Flex M 4GB 30 Hari,xl,Paket Data,,2.7%,Promo,mitra tokopedia
14,55000,54350,Xtra Combo Flex L 9GB 30 Hari,xl,Paket Data,,1.18%,Promo,mitra tokopedia
10,80000,77000,Xtra Combo Flex XL 15GB 30 Hari,xl,Paket Data,,3.75%,Promo,mitra tokopedia
12,115000,107720,Xtra Combo Flex XXL 26GB 30 Hari,xl,Paket Data,,6.33%,Promo,mitra tokopedia
14,135000,132975,Xtra Combo Flex XXXL 36GB 30 Hari,xl,Paket Data,,1.5%,Promo,mitra tokopedia
16,29700,28770,Xtra Combo Flex S+ 3GB + Kuota Area Hingga 6GB + Bonus Flex,xl,Paket Data,,3%,Promo,mitra tokopedia
6,39040,37810,Xtra Combo Flex M 4GB + Kuota Area Hingga 9GB + Bonus Flex,xl,Paket Data,,3%,Promo,mitra tokopedia
8,56650,54850,Xtra Combo Flex L 9GB + Kuota Area Hingga 16GB + Bonus Flex,xl,Paket Data,,3%,Promo,mitra tokopedia
10,13300,12880,"Xtra Hotrod Special S, 7hr",xl,Paket Data,,3%,Promo,mitra tokopedia
12,16500,15990,"Xtra Hotrod Special M, 7hr",xl,Paket Data,,3%,Promo,mitra tokopedia
14,20900,20240,"Xtra Hotrod Special L, 7hr",xl,Paket Data,,3%,Promo,mitra tokopedia
0,56650,54850,Xtra Combo Flex L 9GB + Kuota Area Hingga 16GB + Bonus Flex,xl,Paket Data,,3%,,mitra tokopedia
8,26550,25740,"Xtra Hotrod Special XL, 7hr",xl,Paket Data,,3%,Promo,mitra tokopedia
10,59000,56500,Xtra Combo 5GB+10GB,xl,Paket Data,,4.24%,Promo,mitra tokopedia
12,89000,84900,Xtra Combo Double Youtube 10GB+20GB,xl,Paket Data,,4.61%,Promo,mitra tokopedia
14,,13950,XTRA ON 1GB,xl,Paket Data,,,,mitra tokopedia
7,,22950,XTRA ON 2GB,xl,Paket Data,,,,mitra tokopedia
8,,81500,Xtra Combo Flex XL 15GB + Kuota Area Hingga 30GB + Bonus Flex,xl,Paket Data,,,,mitra tokopedia
9,,112700,Xtra Combo Flex XXL 26GB + Kuota Area Hingga 46GB + Bonus Flex,xl,Paket Data,,,,mitra tokopedia
10,,135650,Xtra Combo Flex XXXL 36GB + Kuota Area Hingga 54GB + Bonus Flex,xl,Paket Data,,,,mitra tokopedia
5,,13300,"Xtra Hotrod Special S, 7hr",xl,Paket Data,,,,mitra tokopedia
6,,16500,"Xtra Hotrod Special M, 7hr",xl,Paket Data,,,,mitra tokopedia
7,,20900,"Xtra Hotrod Special L, 7hr",xl,Paket Data,,,,mitra tokopedia
5,,26550,"Xtra Hotrod Special XL, 7hr",xl,Paket Data,,,,mitra tokopedia
6,,5500,HotRod 500MB / 7 hari,xl,Paket Data,,,,mitra tokopedia
7,,9200,HotRod 1GB / 7 hari,xl,Paket Data,,,,mitra tokopedia
8,,10340,"HotRod 1,5GB / 7 hari",xl,Paket Data,,,,mitra tokopedia
4,,17200,HotRod 2GB / 7 hari,xl,Paket Data,,,,mitra tokopedia
5,,13430,"HotRod 2,5GB / 7 hari",xl,Paket Data,,,,mitra tokopedia
6,,22500,HotRod 3GB / 7 hari,xl,Paket Data,,,,mitra tokopedia
7,,17570,HotRod 4GB / 7 hari,xl,Paket Data,,,,mitra tokopedia
8,,22730,HotRod 6GB / 7 hari,xl,Paket Data,,,,mitra tokopedia
4,,56800,HotRod 3GB / 30 hari,xl,Paket Data,,,,mitra tokopedia
5,,172900,HotRod 12GB / 30 hari,xl,Paket Data,,,,mitra tokopedia
6,,124900,Xtra Combo Double Youtube 15GB+30GB,xl,Paket Data,,,,mitra tokopedia
7,,171900,Xtra Combo Double Youtube 20GB+40GB,xl,Paket Data,,,,mitra tokopedia
5,,64900,Xtra Combo VIP Double Youtube 5GB+10GB,xl,Paket Data,,,,mitra tokopedia
6,,92900,Xtra Combo VIP Double Youtube 10GB+20GB,xl,Paket Data,,,,mitra tokopedia
7,,9500,Tokopedia Booster Pack,xl,Paket Data,,,,mitra tokopedia
4,,11400,AnyNet 400 Menit / 7 Hari,xl,Paket Data,,,,mitra tokopedia
5,,37900,AnyNet 150 Menit / 30 Hari,xl,Paket Data,,,,mitra tokopedia
6,,57500,AnyNet 250 Menit / 30 Hari,xl,Paket Data,,,,mitra tokopedia
7,,71500,AnyNet 325 Menit / 30 Hari,xl,Paket Data,,,,mitra tokopedia
8,,139000,AnyNet 500 Menit / 30 Hari,xl,Paket Data,,,,mitra tokopedia
6,,60500,"Akrab S, 2 Anggota, 30hr",xl,Paket Data,,,,mitra tokopedia
7,,314700,"Akrab XL, 4 Anggota, 30hr",xl,Paket Data,,,,mitra tokopedia
4,,509700,"Akrab XXL, 4 Anggota, 30hr",xl,Paket Data,,,,mitra tokopedia
0,10000,9600,"[Parti Day] Bronet 24jam 3GB Nat + 2GB Sosmed/Chat, 3hr",axis,Paket Data,,4%,Eksklusif,mitra tokopedia
2,28000,26950,"[Parti Day] Bronet 24jam 6GB Nat + 4GB Sosmed/Chat, 10hr",axis,Paket Data,,3.75%,Eksklusif,mitra tokopedia
4,80000,76500,"[Parti Day] Bronet 24jam 30GB Nat + 15GB Sosmed/Chat, 30hr",axis,Paket Data,,4.38%,Eksklusif,mitra tokopedia
6,6000,5500,BRONET 24 Jam 1GB 1 Hr + Bonus Lokal Kuota,axis,Paket Data,,8.33%,Promo,mitra tokopedia
8,9950,9638,AIGO Bronet Mini 1GB 5hr,axis,Paket Data,,3%,Promo,mitra tokopedia
10,17650,17098,AIGO Bronet Mini 2GB 7hr,axis,Paket Data,,3%,Promo,mitra tokopedia
12,22895,22208,AIGO Bronet Mini 3GB 15hr,axis,Paket Data,,3%,Promo,mitra tokopedia
14,15250,14770,AIGO Bronet 24Jam 1GB 30hr,axis,Paket Data,,3%,Promo,mitra tokopedia
8,24850,24073,AIGO Bronet 24Jam 3GB 30hr,axis,Paket Data,,3%,Promo,mitra tokopedia
10,31950,30963,AIGO Bronet 24Jam 5GB 30hr,axis,Paket Data,,3%,Promo,mitra tokopedia
12,18900,18700,Bronet 1GB / 30 Hari,axis,Paket Data,,1.06%,Promo,mitra tokopedia
14,24300,23990,Bronet 2GB / 30 Hari,axis,Paket Data,,1.28%,Promo,mitra tokopedia
6,45500,44900,Bronet 5GB / 30 Hari,axis,Paket Data,,1.32%,Promo,mitra tokopedia
8,20000,19750,BRONET 4G OWSEM 1GB + 1GB,axis,Paket Data,,1.25%,Promo,mitra tokopedia
10,32400,32050,"BRONET 4G OWSEM, 1GB + 3GB",axis,Paket Data,,1.08%,Promo,mitra tokopedia
12,52750,46650,"BRONET 4G OWSEM, 2GB + 6GB",axis,Paket Data,,11.56%,Promo,mitra tokopedia
14,,9965,AIGO Bronet Mini 1GB 5hr,axis,Paket Data,,,,mitra tokopedia
7,,18320,AIGO Bronet Mini 2GB 7hr,axis,Paket Data,,,,mitra tokopedia
8,,22895,AIGO Bronet Mini 3GB 15hr,axis,Paket Data,,,,mitra tokopedia
9,,33500,AIGO Bronet Mini 7GB 15hr,axis,Paket Data,,,,mitra tokopedia
10,,8250,"AIGO SS 1,5GB 5hr",axis,Paket Data,,,,mitra tokopedia
11,,12590,AIGO SS 2GB 5hr,axis,Paket Data,,,,mitra tokopedia
6,,16350,AIGO SS 4GB 5hr,axis,Paket Data,,,,mitra tokopedia
7,,22900,AIGO SS 7GB 5hr,axis,Paket Data,,,,mitra tokopedia
8,,15700,AIGO Bronet 24Jam 1GB 30hr,axis,Paket Data,,,,mitra tokopedia
5,,24850,AIGO Bronet 24Jam 3GB 30hr,axis,Paket Data,,,,mitra tokopedia
6,,31950,AIGO Bronet 24Jam 5GB 30hr,axis,Paket Data,,,,mitra tokopedia
7,,46500,AIGO Bronet 24Jam 8GB 30hr,axis,Paket Data,,,,mitra tokopedia
4,,62700,AIGO Bronet 24Jam 12GB 30hr,axis,Paket Data,,,,mitra tokopedia
5,,82700,AIGO Bronet 24Jam 22GB 30hr,axis,Paket Data,,,,mitra tokopedia
6,,12115,BRONET Mini 1GB 7hr,axis,Paket Data,,,,mitra tokopedia
7,,14535,BRONET Mini 1.5GB 7hr,axis,Paket Data,,,,mitra tokopedia
8,,17595,BRONET Mini 2GB 7hr,axis,Paket Data,,,,mitra tokopedia
4,,19775,BRONET Mini 3GB 7hr,axis,Paket Data,,,,mitra tokopedia
5,,23105,BRONET Mini 5GB 7hr,axis,Paket Data,,,,mitra tokopedia
6,,29115,BRONET Mini 8GB 7hr,axis,Paket Data,,,,mitra tokopedia
7,,9720,Bronet 1GB / 5 Hari,axis,Paket Data,,,,mitra tokopedia
4,,21180,Bronet 3GB / 15 Hari,axis,Paket Data,,,,mitra tokopedia
5,,9000,Paket KANGEN 24 Jam 30 menit 7 hari,axis,Paket Data,,,,mitra tokopedia
6,,24900,Paket KANGEN 24 Jam 100 menit 30 hari,axis,Paket Data,,,,mitra tokopedia
7,,26900,"BRONET 24Jam, 2GB, 60hr",axis,Paket Data,,,,mitra tokopedia
8,,32500,BRONET 24Jam 3GB 60hr,axis,Paket Data,,,,mitra tokopedia
6,,49900,BRONET 24Jam 5GB 60Hr,axis,Paket Data,,,,mitra tokopedia
7,,69800,BRONET 24Jam 8GB 60Hr,axis,Paket Data,,,,mitra tokopedia
0,10000,9850,Mix Small 2.75GB,3,Paket Data,,1.5%,Promo,mitra tokopedia
2,5000,4900,Mix Small 5GB,3,Paket Data,,2%,Promo,mitra tokopedia
4,5500,5000,Happy 2.5GB 1 hari + Kuota Lokal 0.5GB,3,Paket Data,,9.09%,Promo,mitra tokopedia
6,20000,19400,AON 3GB + Kuota Lokal 1.5GB,3,Paket Data,,3%,Baru,mitra tokopedia
8,,3750,Happy 1.5GB 1 hari + Kuota Lokal 0.5GB,3,Paket Data,,,,mitra tokopedia
9,,10450,Happy 3GB 3 hari + Kuota Lokal 1GB,3,Paket Data,,,,mitra tokopedia
10,,14500,Happy 3GB 30 hari + Kuota Lokal 2GB,3,Paket Data,,,,mitra tokopedia
11,,28600,Happy 7GB 30 hari + Kuota Lokal 4GB + TikTok 5GB,3,Paket Data,,,,mitra tokopedia
12,,9500,Happy 5GB 1 hari + Kuota Lokal 2GB,3,Paket Data,,,,mitra tokopedia
5,,9900,Happy 3GB 2 Hari,3,Paket Data,,,,mitra tokopedia
6,,15500,Happy 3.5GB 5 hari + Kuota Lokal 2.5GB,3,Paket Data,,,,mitra tokopedia
7,,14250,Happy 5GB 3 hari + Kuota Lokal 2GB,3,Paket Data,,,,mitra tokopedia
4,,19900,Happy 6GB 5 hari + Kuota Lokal 3GB,3,Paket Data,,,,mitra tokopedia
