,SKU,base_price,disc_price,brand,category,note,platform
1,10.000,Rp10.100,Rp10.000,smartfren,Pulsa,Masa Aktif 15 Hari,tokopedia
3,10.000,Rp10.100,,smartfren,Pulsa,,tokopedia
4,20.000,Rp19.850,Rp19.750,smartfren,Pulsa,Masa berlaku 20 hari,tokopedia
6,20.000,Rp19.850,,smartfren,Pulsa,,tokopedia
4,25.000,Rp24.850,Rp24.700,smartfren,Pulsa,Masa Aktif 30 Hari,tokopedia
6,25.000,Rp24.850,,smartfren,Pulsa,,tokopedia
7,30.000,Rp29.750,,smartfren,Pulsa,,tokopedia
8,50.000,Rp49.225,Rp49.100,smartfren,Pulsa,Masa Aktif 60 Hari,tokopedia
10,50.000,Rp49.225,,smartfren,Pulsa,,tokopedia
11,60.000,Rp59.500,Rp58.800,smartfren,Pulsa,Promo,tokopedia
5,60.000,Rp59.500,Rp58.800,smartfren,Pulsa,Masa Aktif 75 Hari,tokopedia
7,60.000,Rp59.500,,smartfren,Pulsa,,tokopedia
8,75.000,Rp74.500,,smartfren,Pulsa,,tokopedia
9,100.000,Rp98.500,,smartfren,Pulsa,,tokopedia
10,100.000,Rp98.500,Rp98.100,smartfren,Pulsa,Promo,tokopedia
5,100.000,Rp98.500,Rp98.100,smartfren,Pulsa,Masa Aktif 120 Hari,tokopedia
7,150.000,Rp148.000,Rp147.500,smartfren,Pulsa,Masa Aktif 150 Hari,tokopedia
9,150.000,Rp148.000,,smartfren,Pulsa,,tokopedia
10,200.000,Rp197.900,Rp196.500,smartfren,Pulsa,Masa Aktif 150 Hari,tokopedia
12,200.000,Rp197.900,,smartfren,Pulsa,,tokopedia
0,100.000,Rp98.500,Rp98.100,smartfren,Pulsa,Masa Aktif 120 Hari,tokopedia
8,300.000,Rp295.200,Rp294.500,smartfren,Pulsa,Masa Aktif 180 Hari,tokopedia
10,300.000,Rp295.200,,smartfren,Pulsa,,tokopedia
11,500.000,Rp496.500,Rp492.000,smartfren,Pulsa,Masa Aktif 240 Hari,tokopedia
13,500.000,Rp496.500,,smartfren,Pulsa,,tokopedia
6,1.000.000,Rp989.000,,smartfren,Pulsa,,tokopedia
0,5.000,Rp5.300,Rp5.250,telkomsel,Pulsa,Masa Aktif 7 Hari,tokopedia
2,5.000,Rp5.300,,telkomsel,Pulsa,,tokopedia
3,10.000,Rp10.200,,telkomsel,Pulsa,,tokopedia
4,15.000,Rp14.850,,telkomsel,Pulsa,,tokopedia
5,20.000,Rp19.890,,telkomsel,Pulsa,,tokopedia
6,25.000,Rp24.875,,telkomsel,Pulsa,,tokopedia
5,30.000,Rp29.800,,telkomsel,Pulsa,,tokopedia
6,35.000,Rp34.990,,telkomsel,Pulsa,,tokopedia
7,40.000,Rp39.500,,telkomsel,Pulsa,,tokopedia
8,45.000,Rp44.990,,telkomsel,Pulsa,,tokopedia
4,50.000,Rp49.650,,telkomsel,Pulsa,,tokopedia
5,60.000,Rp59.990,,telkomsel,Pulsa,,tokopedia
6,65.000,Rp65.500,,telkomsel,Pulsa,,tokopedia
7,70.000,Rp69.990,,telkomsel,Pulsa,,tokopedia
8,75.000,Rp73.400,,telkomsel,Pulsa,,tokopedia
4,80.000,Rp80.500,,telkomsel,Pulsa,,tokopedia
5,85.000,Rp85.500,,telkomsel,Pulsa,,tokopedia
6,90.000,Rp89.990,,telkomsel,Pulsa,,tokopedia
7,95.000,Rp95.500,,telkomsel,Pulsa,,tokopedia
